1000	50000
550	830	9
577	584	-1
478	120	34
236	180	6
6	608	-5
594	53	42
450	973	3
459	173	-4
766	322	-9
61	370	46
838	914	40
403	786	44
56	228	49
90	76	16
796	530	50
67	83	11
969	91	23
858	207	3
1	259	33
317	988	-3
765	205	42
670	36	33
168	806	-17
898	808	-13
15	298	24
400	850	25
6	617	-15
852	246	1
805	111	13
787	244	2
211	426	19
479	665	-17
920	221	4
109	140	-20
585	101	43
652	13	-20
870	9	32
872	112	13
590	933	-15
66	616	31
869	109	6
713	729	-7
882	997	22
709	904	11
119	817	38
477	74	-13
918	333	-15
554	870	49
145	220	19
351	81	1
888	45	-3
894	884	-14
569	759	45
182	207	46
751	279	18
419	266	6
693	144	28
633	450	46
375	292	24
396	292	1
891	998	33
736	405	-9
805	128	29
682	750	13
215	224	32
863	854	6
970	517	-19
242	927	48
719	325	1
920	938	48
952	379	12
394	57	34
823	465	40
994	725	44
233	437	16
837	386	36
962	57	39
356	264	23
34	763	43
939	426	-2
211	215	-19
400	226	27
13	80	-7
936	799	44
435	755	27
17	943	10
703	999	25
580	386	-1
433	620	-9
265	575	21
108	570	20
355	79	48
285	57	32
135	759	-9
890	382	15
186	910	33
498	93	1
345	963	-7
639	112	9
21	206	43
944	476	50
320	490	38
852	640	1
201	617	20
399	157	46
47	929	44
462	636	29
780	475	22
712	438	-4
504	204	50
262	700	27
227	584	22
732	952	27
765	303	36
383	697	-12
525	228	-5
111	420	-13
821	411	29
13	951	39
370	213	39
869	527	22
34	117	36
818	95	-9
671	707	-7
188	287	27
411	724	0
690	176	5
718	807	11
526	942	0
399	762	23
563	457	38
8	440	-18
93	800	-12
611	448	33
517	176	9
837	867	35
638	220	22
596	901	-18
686	11	21
223	544	-17
350	259	-12
963	911	-14
115	699	-15
318	114	47
859	254	-5
573	636	23
885	144	43
968	166	38
305	767	23
1	808	-17
319	99	-10
238	95	47
6	306	13
212	681	-11
324	730	0
58	487	19
248	122	-20
973	95	14
557	127	-7
100	141	47
74	536	-13
473	187	14
861	177	30
429	714	37
209	752	-12
1	392	39
788	54	-17
134	139	42
477	533	2
653	169	23
870	799	28
351	668	39
307	767	25
612	57	3
209	390	-11
517	143	1
958	786	39
403	820	-16
125	99	-17
450	276	6
927	317	40
209	843	34
763	317	31
436	428	-2
166	823	30
847	786	32
142	943	1
829	386	16
138	171	-15
202	83	27
195	86	-4
885	234	23
